Title,Body,Labels,Milestone,Assignee
"[Dev1] Setup projet Cargo + structure modulaire","Initialiser le projet Cargo (edition 2021) et créer l'arborescence src/{app,world,robots,communication,pathfinding,ui,utils}. Ajouter .gitignore (exclure target, prompts internes). Documenter dans README.","dev1,setup,priority:high,size:S",MVP,
"[Dev1] Types utils (Position, Direction)","Implémenter Position (x,y i32) avec distance de Manhattan et voisinage 4-connexe. Implémenter enum Direction (N/E/S/W) avec delta(). Tests unitaires.","dev1,feature,size:S",MVP,
"[Dev1] Types Tile et Resource","enum Tile { Empty, Obstacle, Base, Resource(Resource) }. struct Resource { kind, quantity } avec ResourceKind { Energy, Crystal }. Glyphs ASCII. Quantités aléatoires 50-200.","dev1,feature,priority:high,size:S",MVP,
"[Dev1] Struct Map (grille 2D)","Map { width, height, tiles: Vec<Tile>, base }. Accesseurs sûrs (get/get_mut bornes), in_bounds, is_walkable, iter, count_obstacles/resources. Base placée au centre. Tests.","dev1,feature,priority:high,size:M",MVP,
"[Dev1] Génération procédurale Perlin","Implémenter Map::generate(width, height, seed) avec crate `noise`. Paramètres : fréquence, seuil obstacle, rayon safe autour de la base. Tests : déterminisme par seed, zone safe libre.","dev1,feature,priority:high,size:M",MVP,
"[Dev1] Placement aléatoire des ressources","Map::populate_resources(seed) qui pose Energy (~12) et Crystal (~8) sur cases libres avec rand. Quantités 50-200. Tirage déterministe par seed. Tests.","dev1,feature,size:M",MVP,
"[Dev1] Démo ASCII dans main","main() qui génère une carte 60x20, la peuple et l'affiche en ASCII dans le terminal. Sert de smoke test avant l'intégration UI Ratatui.","dev1,feature,size:S",MVP,
"[Dev2] Trait Robot commun","Trait Robot avec position(), tick(&mut self, &Map, &Comm). Etat partagé (position, id, type). Base pour Scout et Collector.","dev2,feature,priority:high,size:M",MVP,
"[Dev2] Scout Robot (exploration aléatoire)","ScoutRobot ('x') : déplacement aléatoire pondéré, scan voisinage, broadcast découvertes (ressources + obstacles). Ne collecte pas.","dev2,feature,priority:high,size:M",MVP,
"[Dev2] Collector Robot","CollectorRobot ('o') : reçoit positions de ressources, navigue, collecte 1 unité, retourne à la base, décharge. Capacité limitée.","dev2,feature,priority:high,size:L",MVP,
"[Dev2] Pathfinding A*","Module pathfinding avec crate `pathfinding`. A* sur grille 4-connexe. Heuristique Manhattan. Évite Tile::Obstacle. Renvoie Vec<Position>.","dev2,feature,priority:high,size:M",MVP,
"[Dev2] Évitement obstacles + collisions","Vérifier la case suivante avant déplacement. Replanifier si une case devient bloquée. Robots ne se superposent pas.","dev2,robustness,size:M","Polish & Robustness",
"[Dev3] Système de messages","enum Message { ResourceFound, ObstacleFound, ResourceCollected, ResourceDepleted, ... }. Sérialisable et lisible.","dev3,feature,priority:high,size:S",MVP,
"[Dev3] Hub de communication (crossbeam-channel)","CommHub central : un sender par robot, broadcast vers tous. Non-bloquant (try_send/try_recv). Pas de data race.","dev3,feature,priority:high,size:M",MVP,
"[Dev3] Base centrale + état global","Struct Base : stockage Energy/Crystal, mémoire partagée des ressources connues, agrégation des découvertes scouts. Arc<Mutex<>> ou channels.","dev3,feature,priority:high,size:M",MVP,
"[Dev3] Synchronisation des ticks","Coordonner les ticks robots (~10 Hz) sans bloquer. Stratégie : thread par robot OU scheduler central. Documenter le choix.","dev3,architecture,size:M",MVP,
"[Dev4] Boucle principale (app)","Module app : init terminal, boucle event-driven, tick simulation, render frame, gestion exit (toute touche).","dev4,feature,priority:high,size:M",MVP,
"[Dev4] Rendu Ratatui de la carte","Widget grille qui dessine la Map avec couleurs : obstacles cyan, energy vert, crystal magenta clair, base vert clair, scouts rouges, collectors magenta.","dev4,ui,priority:high,size:M",MVP,
"[Dev4] HUD compteurs ressources","Bandeau latéral/bas : total Energy/Crystal collectés, nb robots actifs, nb ressources connues. Mise à jour temps réel.","dev4,ui,size:S",MVP,
"[Dev4] Gestion input clavier (crossterm)","Capturer event clavier non-bloquant. Toute touche quitte proprement (restore terminal).","dev4,ui,size:S",MVP,
"[Integration] Câblage des 4 modules","Brancher world + robots + communication + ui dans la boucle app. Thread principal = UI, threads enfants = robots.","integration,priority:high,size:L","Integration",
"[Integration] Test end-to-end","Scénario : 2 scouts + 3 collectors explorent, découvrent, collectent, ramènent à la base. Vérifier compteurs.","integration,test,size:M","Integration",
"[Polish] Gestion épuisement ressources","Quand quantity == 0, retirer la Tile::Resource. Robots collecteurs replanifient vers une autre ressource connue.","robustness,size:S","Polish & Robustness",
"[Polish] Documentation du code","RustDoc sur tous les éléments publics. README mis à jour avec captures. CONTRIBUTING.md court.","docs,size:S","Polish & Robustness",
"[Polish] CI GitHub Actions","Workflow : cargo fmt --check, cargo clippy -- -D warnings, cargo test.","ci,size:S","Polish & Robustness",
